Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
China,Turkiye,Export,  All Products,Export (US$ Thousand),68912.128,165688.256,184543.36,430684.993,406604.503,556780.433,659063.142,636582.025,1077894.816,674006.603,1089043.515,2065139.564,2821291.823,4253725.596,7303284.863,10484265.62,10606311.97,8333534.857,11942037.33,15613704.58,15585293.35,17746990.92,19305457.61,18607841.07,16686640.52,18121507.52,17788595,17323704.71,20346420.26,28894483.66,34033748.51
China,UAE,Export,  All Products,Export (US$ Thousand),542953.728,711394.752,864720.64,1101085.285,1076876.963,1301152.656,1291306.362,1443757.159,2078437.246,2377322.092,3450903.775,5036996.813,6841135.192,8729838.759,11404780.33,17104968.13,23643689.55,18632295.51,21235460.53,26812847.75,29568342.62,33411294.71,39034507.15,37020164.37,30066955.63,28723965.34,29651248.09,33412894.76,32310092.21,43077732.96,53861686.82
China,Viet Nam,Export,  All Products,Export (US$ Thousand),106326.584,274617.472,341504.48,720263.446,842128.018,1079720.432,1028281.944,963833.903,1537258.771,1797775.199,2148380.455,3182739.191,4260028.135,5643899.032,7463355.015,11894983.63,15122132.63,16300914.5,23101555.93,29091568.15,34212586.98,48586298.2,63730014.14,66017019.78,61094096.78,71617248.16,83876687.84,97868882.17,113815239.4,136186466.9,146959899.8
China,United States,Export,  All Products,Export (US$ Thousand),8599371.776,16972667.9,21474840.58,24728628.81,26705626.24,32740595.5,37983569.93,42004219.56,52156428.12,54355080.2,70050092.09,92626296.06,125148955.9,163180459,203801045.7,233168790,252843530.6,221295019.6,283780322.7,325010987.5,352438221,369063858.6,397099249.7,409979244.4,385677759.4,430328146.5,479278747.2,419322648.6,452492876.3,568174902.5,582756110
United States, World,Export,  All Products,Export (US$ Thousand),447330091,464757162,512336855,582964674.6,622784142.7,687532542,680434596.8,692783783.5,781830672.8,729080421.1,693068306.7,724736583.4,814844394.2,901041411.3,1037029245,1162538150,1299898877,1056712078,1278099187,1481682202,1544932014,1577587252,1619742864,1501845864,1450906273,1545809598,1665302937,1644276221,1430253623,1753136708,2062089833
United States,Afghanistan,Export,  All Products,Export (US$ Thousand),3770.501,9458.413,5438.68,4062.173,16873.83,11484.192,7013.744,18027.547,8154.376,5824.142,80011.074,60758.887,150391.516,262153.213,417630.568,488783.023,481647.628,1511460.17,2151400.794,2921861.778,1521555.394,1409638.976,792389.357,478851.271,913874.351,942037.823,1226885.151,750615.209,670888.208,247405.234,21746.805
United States,Bangladesh,Export,  All Products,Export (US$ Thousand),188045.568,245221.568,233441.776,324482.752,209643.554,259102.785,317711.878,275458.975,239117.836,306889.722,269061.189,225884.184,289302.576,319769.758,332555.16,456420.787,468066.422,434896.461,575698.015,1144148.134,508180.705,708816.08,1113364.427,942540.067,905730.601,1473824.735,2081455.11,2327031.041,1844186.696,2337368.79,2813866.728
United States,Belarus,Export,  All Products,Export (US$ Thousand),25120.7,92130.416,46467.068,47945.376,53025.78,40624.322,30366.62,26053.483,31125.203,34912.642,19070.983,84064.237,32565.395,34942.759,74489.611,101564.097,134466.124,137255.83,133148.863,156543.879,102025.447,95141.886,93385.923,59235.752,195011.717,72668.182,132487.744,125041.904,112283.785,216476.154,39340.739
United States,China,Export,  All Products,Export (US$ Thousand),7469572.096,8767095.808,9286686.72,11748110.34,11977746.41,12804864.93,14257941.63,13117665.53,16184679.3,19181936.06,22127509.05,28367720.78,34427686.53,41190674.56,55224097.11,65237883.48,71456411.76,69575613.27,91910977.24,104121383,110516536,121721075.5,123675622.8,116071708.8,115594770.3,129797515.3,120147865.7,106626645.1,124648507.6,151065177.4,153837022.4
United States,Egypt,Export,  All Products,Export (US$ Thousand),3087347.712,2762593.536,2843823.616,2985290.752,3146111.84,3840028.49,3059792.81,3025392.815,3333939.572,3564351.987,2868427.277,2606749.104,3077754.682,3159259.288,4103782.069,5347083.236,6030833.422,5257585.558,6832542.194,6228228.507,5498319.529,5175345.787,6472584.576,4752983.685,3485903.685,3990352.83,5050861.159,5485805.241,4759077.431,5786374.21,6552797.077
