Country,Partner Name,Indicator,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
China,Turkiye,TII,0.3843772,0.391156842,0.474996237,0.522115365,0.394572113,0.31381193,0.353951818,0.418229233,0.361835134,0.416814562,0.561021444,1.025377509,0.522334328,0.52462197,0.536226419,0.554261986,0.528952121,0.537159354,0.563947887,0.566263014,0.542676619,0.514637075,0.52192397,0.534115917,0.562917743,0.632278631
China,UAE,TII,1.456237973,1.378903728,1.24605052,1.393489121,1.284876676,1.195317774,1.322963547,1.317978719,1.270855834,1.055539917,1.104572168,1.199721296,1.264350668,1.162071356,1.104528297,1.130339278,1.070405653,0.953175676,1.113447692,1.015553142,0.90665836,0.903383787,0.987238141,1.097937448,1.150588514,1.142289304
China,Viet Nam,TII,2.721471004,2.751700843,2.749056479,2.480641272,2.8889393,2.84590689,2.460345577,2.416496674,2.228091418,2.308551734,2.230714257,4.889668588,2.298110708,2.45067625,2.493374549,2.495027135,2.52178059,2.796845948,3.018174374,2.60107959,2.42622493,2.443636641,2.626126299,2.829910177,2.8948827,2.794471017
China,United States,TII,1.184384771,1.139164273,1.244800796,1.20761028,1.087212332,1.095072769,1.187846968,1.243939657,1.299205227,1.344528415,1.364894615,2.738261771,1.380520904,1.493830274,1.46002976,1.461687283,1.422584641,1.427210335,1.365593001,1.309653718,1.328498689,1.407987955,1.430803485,1.208731798,1.251427507,1.265292563
United States, World,TII,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
United States,Afghanistan,TII,0.297350131,0.209931282,0.160192676,0.387406993,0.112560084,0.110773111,0.781722572,0.357592739,0.74132169,0.839299476,1.24926413,2.72471221,1.001496699,2.324826897,2.261728916,2.599581739,1.614137773,1.48041832,0.949793928,0.582950123,1.194094982,1.036884735,1.378513193,1.025658268,1.004949487,0.442366824
United States,Bangladesh,TII,0.321424436,0.342353531,0.395376128,0.372703473,0.285396859,0.360499358,0.375144347,0.287774884,0.324898491,0.323910018,0.29703639,0.192313132,0.30945687,0.283753358,0.262442144,0.446350483,0.196341399,0.249254039,0.327748226,0.25777824,0.23867972,0.342553792,0.429276706,0.473285553,0.47296824,0.401049402
United States,Belarus,TII,0.066483584,0.038814195,0.031543132,0.035109549,0.030734297,0.03531403,0.019605472,0.073691256,0.021816329,0.02276787,0.036717328,0.087434672,0.039622722,0.054385197,0.044282715,0.042666702,0.028731471,0.028655754,0.029404122,0.025720417,0.081280692,0.024297109,0.040189944,0.037320715,0.041364166,0.064672473
United States,China,TII,0.63436396,0.614722448,0.739579318,0.659616258,0.642206461,0.745071854,0.79535798,0.811364171,0.812429373,0.849857409,0.951315769,1.293456764,0.950155873,0.926847556,0.901509526,0.87305935,0.882156108,0.920847784,0.90832853,0.910957091,0.919388529,0.91007522,0.771639903,0.69059809,0.863323124,0.855865375
United States,Egypt,TII,1.588754884,1.657545363,1.247735,1.294112993,1.183960622,1.390648965,1.338581777,1.236054221,1.202563687,1.080513289,1.215647756,2.214011815,1.10956707,1.023524248,1.13628877,1.044657915,0.822919438,0.814717841,0.847609944,0.633802119,0.485415268,0.565810344,0.671742468,0.722047706,0.708658705,0.66132374
