Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
China,Japan,Export,  All Products,Export (US$ Thousand),30886209.35,31838563.47,29660095.39,32410577.5,41654314.05,44940523.79,48433840.39,59408697.99,73509042.09,83986277.41,91622673.33,102062496.2,116132454.5,97910965.89,121043964.5,148268708.1,151626580.7,150132589,149391340.5,135616442.8,129268487.4,137258933.3,147048752.8,143244518.4,142596624.7,164626275.6
China,South Korea,Export,  All Products,Export (US$ Thousand),7499845.618,9126860.979,6251495.873,7807603.69,11292363.93,12518777.84,15534560.64,20094764.74,27811560.29,35107775.98,44522206.86,56432015.98,73931989.52,53679876.61,68766311.13,82920307.88,87673764.18,91164951.04,100333450.8,101286384.2,93707103.46,102703776.6,108756144,110974410.4,112476215.9,145931342.1
China,Myanmar,Export,  All Products,Export (US$ Thousand),521118.239,570099.346,514314.83,406494.908,496443.484,497349.456,724747.021,910223.657,938436.043,934847.228,1207417.933,1700118.421,1977766.301,2261242.729,3475524.257,4821497.462,5673756.23,7338688.821,9367646.907,9650911.459,8187651.272,8948464.266,10547768.5,12310992.45,12547510.39,10291672.39
China,Pakistan,Export,  All Products,Export (US$ Thousand),623011.236,689213.995,523412.251,580594.54,670317.458,814968.254,1242111.002,1854990.825,2465791.925,3427661.674,4239365.171,5831349.376,6051066.209,5515073.607,6937791.618,8439729.435,9276492.101,11019596.12,13244481.94,16441888.41,17232654.06,18250788.59,16933316.65,16166921.09,15357592.99,23939277.39
China,Qatar,Export,  All Products,Export (US$ Thousand),21602.373,14930.282,16169.333,27846.73,31225.962,31555.93,49543.4,61802.055,103518.127,203668.491,436809.052,622613.468,1074163.869,872411.299,855444.268,1198757.273,1205100.145,1710907.973,2254011.137,2275641.175,1515659.122,1682329.963,2482414.272,2409678.189,2631009.7,3862308.507
China,Russia,Export,  All Products,Export (US$ Thousand),1692690.697,2038035.122,1839908.278,1497261.095,2233350.097,2710471.97,3520742.377,6029926.895,9098115.927,13211283.27,15832487.03,28529895.04,33075849.92,17513771.42,29612073.7,38903017.97,44056551.09,49591171.96,53676944.14,34756877.25,37339600.74,42830599.82,47965272.79,49748486.51,50504392.05,67196722.8
China,Saudi Arabia,Export,  All Products,Export (US$ Thousand),747796.768,854249.024,895811.987,943821.749,1144742.927,1354114.676,1671543.733,2146802.96,2775457.898,3824415.297,5055833.989,7839958.562,10823467.97,8977851.553,10366444.55,14849707.39,18452900.81,18739813.77,20575241.93,21612927.98,18650906.5,18375008.21,17428036.04,23876505.59,28094807.84,29186812.74
China,Turkiye,Export,  All Products,Export (US$ Thousand),406604.503,556780.433,659063.142,636582.025,1077894.816,674006.603,1089043.515,2065139.564,2821291.823,4253725.596,7303284.863,10484265.62,10606311.97,8333534.857,11942037.33,15613704.58,15585293.35,17746990.92,19305457.61,18607841.07,16686640.52,18121507.52,17788595,17323704.71,20346420.26,28894483.66
China,UAE,Export,  All Products,Export (US$ Thousand),1076876.963,1301152.656,1291306.362,1443757.159,2078437.246,2377322.092,3450903.775,5036996.813,6841135.192,8729838.759,11404780.33,17104968.13,23643689.55,18632295.51,21235460.53,26812847.75,29568342.62,33411294.71,39034507.15,37020164.37,30066955.63,28723965.34,29651248.09,33412894.76,32310092.21,43077732.96
China,Viet Nam,Export,  All Products,Export (US$ Thousand),842128.018,1079720.432,1028281.944,963833.903,1537258.771,1797775.199,2148380.455,3182739.191,4260028.135,5643899.032,7463355.015,11894983.63,15122132.63,16300914.5,23101555.93,29091568.15,34212586.98,48586298.2,63730014.14,66017019.78,61094096.78,71617248.16,83876687.84,97868882.17,113815239.4,136186466.9
