Country,Partner Name,Trade Flow,Product Group,Indicator,Year,Amount,SIPRI AT Database ID,Supplier,Recipient,Designation,Description,Armament category,Order date,Order date is estimate,Numbers delivered,Numbers delivered is estimate,Delivery year,Delivery year is estimate,Status,SIPRI estimate,TIV deal unit,TIV delivery values,Local production,TII,TII Score
United States,Egypt,Export,  All Products,Export (US$ Thousand),1996,3146111.84,28923,United States,Egypt,Mk-46-5,ASW torpedo,Missiles,1996,Yes,37,Yes,1996,Yes,New,0.35,0.35,12.95,No,TII,1.588754884
United States,Egypt,Export,  All Products,Export (US$ Thousand),1996,3146111.84,28923,United States,Egypt,Mk-46-5,ASW torpedo,Missiles,1996,Yes,38,Yes,1997,Yes,New,0.35,0.35,13.3,No,TII,1.588754884
United States,Egypt,Export,  All Products,Export (US$ Thousand),1996,3146111.84,28142,United States,Egypt,M-106,self-propelled mortar,Artillery,1996,Yes,15,Yes,1997,No,Second hand,0.5,0.2,3,No,TII,1.588754884
United States,Egypt,Export,  All Products,Export (US$ Thousand),1996,3146111.84,27858,United States,Egypt,AIM-9M,SRAAM,Missiles,1996,No,157,Yes,1998,Yes,New,0.12,0.12,18.84,No,TII,1.588754884
United States,Egypt,Export,  All Products,Export (US$ Thousand),1996,3146111.84,27858,United States,Egypt,AIM-9M,SRAAM,Missiles,1996,No,157,Yes,1999,Yes,New,0.12,0.12,18.84,No,TII,1.588754884
United States,Egypt,Export,  All Products,Export (US$ Thousand),1996,3146111.84,25479,United States,Egypt,Commander-114B,light aircraft,Aircraft,1996,No,6,No,1996,No,New,0.25,0.25,1.5,No,TII,1.588754884
United States,Egypt,Export,  All Products,Export (US$ Thousand),1996,3146111.84,24691,United States,Egypt,MIM-23B,SAM,Missiles,1996,No,45,Yes,1998,Yes,Second hand,0.17,0.07,3.06,No,TII,1.588754884
United States,Egypt,Export,  All Products,Export (US$ Thousand),1996,3146111.84,24691,United States,Egypt,MIM-23B,SAM,Missiles,1996,No,45,Yes,1999,Yes,Second hand,0.17,0.07,3.06,No,TII,1.588754884
United States,Egypt,Export,  All Products,Export (US$ Thousand),1996,3146111.84,24691,United States,Egypt,MIM-23B,SAM,Missiles,1996,No,45,Yes,2000,Yes,Second hand,0.17,0.07,3.06,No,TII,1.588754884
United States,Egypt,Export,  All Products,Export (US$ Thousand),1996,3146111.84,24691,United States,Egypt,MIM-23B,SAM,Missiles,1996,No,45,Yes,2001,Yes,Second hand,0.17,0.07,3.06,No,TII,1.588754884
United States,Egypt,Export,  All Products,Export (US$ Thousand),1996,3146111.84,24535,United States,Egypt,AIM-7M,BVRAAM,Missiles,1996,No,215,Yes,1996,No,New,0.18,0.18,38.7,No,TII,1.588754884
United States,Egypt,Export,  All Products,Export (US$ Thousand),1996,3146111.84,24535,United States,Egypt,AIM-7M,BVRAAM,Missiles,1996,No,56,Yes,1997,Yes,New,0.18,0.18,10.08,No,TII,1.588754884
United States,Egypt,Export,  All Products,Export (US$ Thousand),1996,3146111.84,24513,United States,Egypt,TOW,anti-tank missile,Missiles,1996,No,750,Yes,2000,Yes,New,0.01,0.01,7.5,No,TII,1.588754884
United States,Egypt,Export,  All Products,Export (US$ Thousand),1996,3146111.84,24513,United States,Egypt,TOW,anti-tank missile,Missiles,1996,No,122,Yes,2001,Yes,New,0.01,0.01,1.22,No,TII,1.588754884
United States,Egypt,Export,  All Products,Export (US$ Thousand),1996,3146111.84,24513,United States,Egypt,TOW,anti-tank missile,Missiles,1996,No,750,Yes,1998,Yes,New,0.01,0.01,7.5,No,TII,1.588754884
United States,Egypt,Export,  All Products,Export (US$ Thousand),1996,3146111.84,24513,United States,Egypt,TOW,anti-tank missile,Missiles,1996,No,750,Yes,1999,Yes,New,0.01,0.01,7.5,No,TII,1.588754884
United States,Egypt,Export,  All Products,Export (US$ Thousand),1996,3146111.84,24510,United States,Egypt,AGM-114 Hellfire-2,anti-tank missile/ASM,Missiles,1996,No,464,Yes,1999,No,New,0.05,0.05,23.2,No,TII,1.588754884
United States,Egypt,Export,  All Products,Export (US$ Thousand),1996,3146111.84,24510,United States,Egypt,AGM-114 Hellfire-2,anti-tank missile/ASM,Missiles,1996,No,463,Yes,1998,No,New,0.05,0.05,23.15,No,TII,1.588754884
United States,Egypt,Export,  All Products,Export (US$ Thousand),1996,3146111.84,24201,United States,Egypt,SM-1MR,SAM,Missiles,1996,No,32,No,1999,No,New,0.25,0.25,8,No,TII,1.588754884
United States,Egypt,Export,  All Products,Export (US$ Thousand),1996,3146111.84,24201,United States,Egypt,SM-1MR,SAM,Missiles,1996,No,46,Yes,1997,Yes,New,0.25,0.25,11.5,No,TII,1.588754884
United States,Egypt,Export,  All Products,Export (US$ Thousand),1996,3146111.84,24200,United States,Egypt,SM-1MR,SAM,Missiles,1996,No,34,Yes,1997,Yes,Second hand,0.25,0.1,3.4,No,TII,1.588754884
United States,Egypt,Export,  All Products,Export (US$ Thousand),1996,3146111.84,24200,United States,Egypt,SM-1MR,SAM,Missiles,1996,No,36,Yes,1998,Yes,Second hand,0.25,0.1,3.6,No,TII,1.588754884
United States,Egypt,Export,  All Products,Export (US$ Thousand),1996,3146111.84,24163,United States,Egypt,Perry,frigate,Ships,1996,No,1,No,1997,No,Second hand,300,120,120,No,TII,1.588754884
United States,Egypt,Export,  All Products,Export (US$ Thousand),1996,3146111.84,23331,United States,Egypt,Perry,frigate,Ships,1996,No,1,No,1996,No,Second hand,300,120,120,No,TII,1.588754884
United States,Egypt,Export,  All Products,Export (US$ Thousand),1996,3146111.84,23870,United States,Egypt,F-16C,FGA aircraft,Aircraft,1996,No,4,Yes,1999,No,New,28.5,28.5,114,No,TII,1.588754884
United States,Egypt,Export,  All Products,Export (US$ Thousand),1996,3146111.84,23870,United States,Egypt,F-16C,FGA aircraft,Aircraft,1996,No,17,Yes,2000,No,New,28.5,28.5,484.5,No,TII,1.588754884
United States,Egypt,Export,  All Products,Export (US$ Thousand),1996,3146111.84,24164,United States,Egypt,M-1A1 Abrams,tank,Armoured vehicles,1996,No,10,Yes,1997,No,New,4,4,40,Yes,TII,1.588754884
United States,Egypt,Export,  All Products,Export (US$ Thousand),1996,3146111.84,24164,United States,Egypt,M-1A1 Abrams,tank,Armoured vehicles,1996,No,21,Yes,1998,No,New,4,4,84,Yes,TII,1.588754884
United States,Egypt,Export,  All Products,Export (US$ Thousand),1996,3146111.84,30512,United States,Egypt,M-48 SAMS,mobile SAM system,Air defence systems,1996,No,30,Yes,1997,Yes,Second hand,1,0.4,12,No,TII,1.588754884
United States,Egypt,Export,  All Products,Export (US$ Thousand),1996,3146111.84,24496,United States,Egypt,SP-122 122mm,self-propelled gun,Artillery,1996,No,24,No,1998,No,New,0.9,0.9,21.6,Yes,TII,1.588754884
United States,Egypt,Export,  All Products,Export (US$ Thousand),1996,3146111.84,27864,United States,Egypt,M-167,AA gun,Air defence systems,1996,Yes,66,No,1997,No,Second hand,0.4,0.16,10.56,No,TII,1.588754884
United States,Egypt,Export,  All Products,Export (US$ Thousand),1996,3146111.84,28143,United States,Egypt,M-113,APC,Armoured vehicles,1996,Yes,422,No,1997,No,Second hand,0.25,0.1,42.2,No,TII,1.588754884
United States,Japan,Export,  All Products,Export (US$ Thousand),1996,67514643.24,20938,United States,Japan,APS-143,MP aircraft radar,Sensors,1996,No,2,No,1997,No,New,2.5,2.5,5,No,TII,2.018743972
